S000028458	ARS1022
S000003912	YJR151C
S000036600	
S000028557	YJR151W-A
S000031243	
S000003913	YJR152W
S000037362	
S000003914	YJR153W
S000037481	
S000003915	YJR154W
S000030205	
S000003916	YJR155W
S000030387	
S000003917	YJR156C
S000030438	
S000028459	ARS1023
S000003918	YJR157W
S000031435	
S000003919	YJR158W
S000031532	
S000003920	YJR159W
S000031666	
S000028460	ARS1024
S000003921	YJR160C
S000031772	
S000003922	YJR161C
S000031918	
S000028461	ARS1025
S000028976	TEL10R-XC
S000035847	
S000035848	
S000028974	TEL10R
S000003923	YJR162C
S000032831	
S000028977	TEL10R-XR
S000028975	TEL10R-TR
S000028907	TEL11L-TR
S000028909	TEL11L-XR
S000001708	YKL225W
S000032685	
S000028906	TEL11L
S000028908	TEL11L-XC
S000034744	
S000034745	
S000001707	YKL224C
S000031625	
S000001706	YKL223W
S000031556	
S000001705	YKL222C
S000031466	
S000001704	YKL221W
S000031419	
S000130137	ARS1102
S000001703	YKL220C
S000031305	
S000001702	YKL219W
S000030515	
S000001701	YKL218C
S000037646	
S000001700	YKL217W
S000037602	
S000001699	YKL216W
S000037467	
S000001698	YKL215C
S000036677	
S000001697	YKL214C
S000036577	
S000001696	YKL213C
S000036488	
S000001695	YKL212W
S000036459	
S000001694	YKL211C
S000035520	
S000006455	snR64
S000030843	
S000001693	YKL210W
S000035493	
S000001692	YKL209C
S000035512	
S000006748	tT(CGU)K
S000032223	
S000001691	YKL208W
S000034559	
S000001690	YKL207W
S000034425	
S000001689	YKL206C
S000034304	
S000001688	YKL205W
S000034266	
S000001687	YKL204W
S000033363	
S000118401	ARS1103
S000001686	YKL203C
S000033266	
S000001685	YKL202W
S000033230	
S000001684	YKL201C
S000032315	
S000001681	YKL198C
S000034854	
S000001680	YKL197C
S000033983	
S000007055	YKLWdelta1
S000006671	tN(GUU)K
S000030740	
S000001679	YKL196C
S000033862	
S000001678	YKL195W
S000033827	
S000001677	YKL194C
S000030386	
S000001676	YKL193C
S000030304	
S000001675	YKL192C
S000030104	
S000001674	YKL191W
S000030067	
S000001673	YKL190W
S000029989	
S000029990	
S000029991	
S000007050	YKLCdelta2
S000006651	tL(UAA)K
S000037408	
S000001672	YKL189W
S000030561	
S000001671	YKL188C
S000030413	
S000130138	ARS1104
S000001670	YKL187C
S000037608	
S000001669	YKL186C
S000037550	
S000122106	
S000001668	YKL185W
S000037492	
S000001667	YKL184W
S000032037	
S000119035	ARS1125
S000028558	YKL183C-A
S000031244	
S000001666	YKL183W
S000031917	
S000001665	YKL182W
S000031771	
S000001664	YKL181W
S000029853	
S000001663	YKL180W
S000036148	
S000036149	
S000036150	
S000001662	YKL179C
S000035207	
S000001660	YKL177W
S000034192	
S000001661	YKL178C
S000035096	
S000001659	YKL176C
S000034038	
S000001658	YKL175W
S000033999	
S000001657	YKL174C
S000033149	
S000001656	YKL173W
S000033113	
S000001655	YKL172W
S000033024	
S000001654	YKL171W
S000032097	
S000001653	YKL170W
S000031979	
S000001652	YKL169C
S000030884	
S000001651	YKL168C
S000030812	
S000001650	YKL167C
S000037870	
S000001649	YKL166C
S000037767	
S000007617	YKL165C-A
S000037215	
S000001648	YKL165C
S000037706	
S000006558	tE(UUC)K
S000036005	
S000001647	YKL164C
S000036944	
S000001646	YKL163W
S000036912	
S000007244	YKL162C-A
S000032863	
S000001645	YKL162C
S000036809	
S000001644	YKL161C
S000035941	
S000118402	ARS1106
S000001643	YKL160W
S000035865	
